date,daily_sales
2025-12-06,1286
2025-12-07,1239
2025-12-08,1258
2025-12-09,1215
2025-12-10,1174
2025-12-11,1097
2025-12-12,1043
2025-12-13,966
2025-12-14,888
2025-12-15,827
2025-12-16,767
2025-12-17,691
2025-12-18,676
2025-12-19,690
2025-12-20,711
2025-12-21,772
2025-12-22,738
2025-12-23,817
2025-12-24,866
2025-12-25,868
2025-12-26,961
2025-12-27,990
2025-12-28,1115
2025-12-29,1147
2025-12-30,1128
2025-12-31,1229
